arrival_info,stop_number,stop_name,stop_id,latitude,longitude,direction,route_id,route_name
進站中,32,內湖行政大樓,1146600120,25.068934,121.5889192,come,0100000A00,0東
5分鐘,33,國防醫學中心,1147200100,25.07121,121.5900311,come,0100000A00,0東
7分鐘,34,三總內湖站,1149000200,25.071852,121.592095,come,0100000A00,0東
進站中,35,將軍嶺,1147200200,25.073809,121.5900167,come,0100000A00,0東
進站中,36,方濟中學,1146200000,25.076884,121.5902313,come,0100000A00,0東
進站中,37,內湖高中,1147500060,25.079013,121.5883097,come,0100000A00,0東
3分鐘,38,捷運文德站(碧湖公園),1147500260,25.078585,121.584249,come,0100000A00,0東
4分鐘,39,湖光國宅,1147300060,25.07859,121.58078,come,0100000A00,0東
5分鐘,40,西湖圖書館(湖光教會),1144700061,25.07889,121.578499,come,0100000A00,0東
7分鐘,41,港墘派出所,1144800240,25.078636,121.57619,come,0100000A00,0東
9分鐘,42,瑞光路,1149100230,25.074821,121.577343,come,0100000A00,0東
11分鐘,43,公館山,1149100040,25.071988,121.5809507,come,0100000A00,0東
11分鐘,44,麗寶大樓,1149100340,25.070391,121.582671,come,0100000A00,0東
15分鐘,45,瑞湖街口,1149400261,25.067659,121.576798,come,0100000A00,0東
尚未發車,1,萬芳社區,1166500360,25.001753,121.570457,go,0100000B00,0南
尚未發車,2,萬芳活動中心,1166500460,25.002436,121.569474,go,0100000B00,0南
尚未發車,3,萬芳國小,1165300420,25.001037,121.5680544,go,0100000B00,0南
尚未發車,4,萬芳6號公園,1165300540,24.999962,121.56892,go,0100000B00,0南
尚未發車,5,萬利街口,1165400260,24.999065,121.567262,go,0100000B00,0南
尚未發車,6,棕櫚泉社區,1169600360,24.997568,121.5625566,go,0100000B00,0南
尚未發車,7,文山運動中心(萬芳),1169600060,24.99706,121.5603813,go,0100000B00,0南
尚未發車,8,臺灣警察專科學校,1169800200,24.997677,121.559454,go,0100000B00,0南
尚未發車,9,捷運萬芳醫院站,1169600260,24.999259,121.557829,go,0100000B00,0南
尚未發車,10,中國科技大學(興隆),1169400000,25.000405,121.5557979,go,0100000B00,0南
尚未發車,11,興隆國小,1169200360,25.001459,121.5530398,go,0100000B00,0南
尚未發車,12,興德國小,1169200560,25.000982,121.5500736,go,0100000B00,0南
尚未發車,13,興隆市場,1168900260,24.999584,121.5474484,go,0100000B00,0南
尚未發車,14,靜心高中,1168700360,24.998953,121.545835,go,0100000B00,0南
尚未發車,15,憲光公寓,1168000100,24.999719,121.5439365,go,0100000B00,0南
尚未發車,16,景明街口,1168200060,25.001808,121.5422591,go,0100000B00,0南
尚未發車,17,武功國小(興隆),1168100060,25.004266,121.5399955,go,0100000B00,0南
尚未發車,18,師大分部,1167700000,25.00767,121.5384703,go,0100000B00,0南
尚未發車,19,捷運公館站,1009000100,25.013993,121.535185,go,0100000B00,0南
進站中,20,臺大,1067300800,25.018029,121.53375,go,0100000B00,0南
進站中,21,臺大綜合體育館,1066000100,25.021405,121.5343881,go,0100000B00,0南
4分鐘,22,溫州街口,1064400460,25.026354,121.5326938,go,0100000B00,0南
5分鐘,23,師大綜合大樓,1064400360,25.026622,121.53006,go,0100000B00,0南
5分鐘,24,師大,1064400260,25.026738,121.5277134,go,0100000B00,0南
7分鐘,25,金山潮州街口,1064400100,25.028663,121.526353,go,0100000B00,0南
8分鐘,26,公企中心,1064200000,25.03066,121.52673,go,0100000B00,0南
8分鐘,27,捷運東門站(金山),1065000500,25.033211,121.5272129,go,0100000B00,0南
,1,信義永康街口(捷運東門站),1065000320,25.033693,121.529727,go,0100000B00,0南
,2,金華新生路口,1065000240,25.03087,121.53346,go,0100000B00,0南
,3,和平新生路口,1064400040,25.02639,121.53478,go,0100000B00,0南
,4,龍安國小(公務人力發展學院),1066000240,25.024664,121.5345198,go,0100000B00,0南
,5,臺大綜合體育館,1066000140,25.02155,121.5341136,go,0100000B00,0南
,6,臺大,1067300840,25.018239,121.533435,go,0100000B00,0南
,7,捷運公館站,1009000140,25.014321,121.534722,go,0100000B00,0南
,8,師大分部,1167700041,25.00814,121.538064,go,0100000B00,0南
,9,武功國小(興隆),1168100020,25.004127,121.5398685,go,0100000B00,0南
,10,景明街口,1168000020,25.001631,121.5422579,go,0100000B00,0南
,11,憲光公寓,1168000140,24.999433,121.5438916,go,0100000B00,0南
,12,靜心高中,1168700320,24.998797,121.545859,go,0100000B00,0南
,13,興隆市場,1168700020,24.999632,121.547902,go,0100000B00,0南
,14,興德國小,1168900420,25.00097,121.5503078,go,0100000B00,0南
,15,興隆國小,1169000020,25.001221,121.5533283,go,0100000B00,0南
,16,捷運萬芳醫院站,1169500121,24.999051,121.557681,go,0100000B00,0南
,17,臺灣警察專科學校,1169800240,24.998268,121.5584948,go,0100000B00,0南
,18,文山運動中心(萬芳),1169600020,24.996958,121.56078,go,0100000B00,0南
,19,棕櫚泉社區,1169600320,24.99729,121.56229,go,0100000B00,0南
,20,萬利街口,1165300220,24.998733,121.56623,go,0100000B00,0南
,21,捷運萬芳社區站,1165300120,24.998858,121.5680836,go,0100000B00,0南
,22,萬芳6號公園,1165300500,24.999654,121.569055,go,0100000B00,0南
,23,萬芳國小,1165300460,25.001533,121.567472,go,0100000B00,0南
,24,萬芳活動中心,1166500420,25.002391,121.5683789,go,0100000B00,0南
,25,萬芳社區,1165300320,25.002253,121.5698159,go,0100000B00,0南
,1,萬芳社區,1166500360,25.001753,121.570457,come,0100000B00,0南
,2,萬芳活動中心,1166500460,25.002436,121.569474,come,0100000B00,0南
,3,萬芳國小,1165300420,25.001037,121.5680544,come,0100000B00,0南
,4,萬芳6號公園,1165300540,24.999962,121.56892,come,0100000B00,0南
,5,萬利街口,1165400260,24.999065,121.567262,come,0100000B00,0南
,6,棕櫚泉社區,1169600360,24.997568,121.5625566,come,0100000B00,0南
,7,文山運動中心(萬芳),1169600060,24.99706,121.5603813,come,0100000B00,0南
,8,臺灣警察專科學校,1169800200,24.997677,121.559454,come,0100000B00,0南
,9,捷運萬芳醫院站,1169600260,24.999259,121.557829,come,0100000B00,0南
,10,中國科技大學(興隆),1169400000,25.000405,121.5557979,come,0100000B00,0南
,11,興隆國小,1169200360,25.001459,121.5530398,come,0100000B00,0南
,12,興德國小,1169200560,25.000982,121.5500736,come,0100000B00,0南
,13,興隆市場,1168900260,24.999584,121.5474484,come,0100000B00,0南
,14,靜心高中,1168700360,24.998953,121.545835,come,0100000B00,0南
,15,憲光公寓,1168000100,24.999719,121.5439365,come,0100000B00,0南
,16,景明街口,1168200060,25.001808,121.5422591,come,0100000B00,0南
,17,武功國小(興隆),1168100060,25.004266,121.5399955,come,0100000B00,0南
,18,師大分部,1167700000,25.00767,121.5384703,come,0100000B00,0南
,19,捷運公館站,1009000100,25.013993,121.535185,come,0100000B00,0南
,20,臺大,1067300800,25.018029,121.53375,come,0100000B00,0南
,21,臺大綜合體育館,1066000100,25.021405,121.5343881,come,0100000B00,0南
,22,溫州街口,1064400460,25.026354,121.5326938,come,0100000B00,0南
,23,師大綜合大樓,1064400360,25.026622,121.53006,come,0100000B00,0南
,24,師大,1064400260,25.026738,121.5277134,come,0100000B00,0南
,25,金山潮州街口,1064400100,25.028663,121.526353,come,0100000B00,0南
,26,公企中心,1064200000,25.03066,121.52673,come,0100000B00,0南
,27,捷運東門站(金山),1065000500,25.033211,121.5272129,come,0100000B00,0南
11分鐘,1,信義永康街口(捷運東門站),1065000320,25.033693,121.529727,come,0100000B00,0南
13分鐘,2,金華新生路口,1065000240,25.03087,121.53346,come,0100000B00,0南
14分鐘,3,和平新生路口,1064400040,25.02639,121.53478,come,0100000B00,0南
16分鐘,4,龍安國小(公務人力發展學院),1066000240,25.024664,121.5345198,come,0100000B00,0南
17分鐘,5,臺大綜合體育館,1066000140,25.02155,121.5341136,come,0100000B00,0南
18分鐘,6,臺大,1067300840,25.018239,121.533435,come,0100000B00,0南
20分鐘,7,捷運公館站,1009000140,25.014321,121.534722,come,0100000B00,0南
22分鐘,8,師大分部,1167700041,25.00814,121.538064,come,0100000B00,0南
24分鐘,9,武功國小(興隆),1168100020,25.004127,121.5398685,come,0100000B00,0南
26分鐘,10,景明街口,1168000020,25.001631,121.5422579,come,0100000B00,0南
26分鐘,11,憲光公寓,1168000140,24.999433,121.5438916,come,0100000B00,0南
