go_stop_number	go_stop_name	go_stop_id	go_latitude	go_longitude	come_stop_number	come_stop_name	come_stop_id	come_latitude	come_longitude		
0東	0100000A00										
40 	捷運大安森林公園站	1065600460 	25 	122 	40 	捷運大安森林公園站	1065600460 	25 	122 		
40 	西湖圖書館(湖光教會)	1144700061 	25 	122 	40 	西湖圖書館(湖光教會)	1144700061 	25 	122 		
41 	港墘派出所	1144800240 	25 	122 	41 	港墘派出所	1144800240 	25 	122 		
41 	信義新生路口	1065600360 	25 	122 	41 	信義新生路口	1065600360 	25 	122 		
42 	信義永康街口	1065100260 	25 	122 	42 	信義永康街口	1065100260 	25 	122 		
42 	瑞光路	1149100230 	25 	122 	42 	瑞光路	1149100230 	25 	122 		
43 	捷運東門站	1005700060 	25 	122 	43 	捷運東門站	1005700060 	25 	122 		
43 	公館山	1149100040 	25 	122 	43 	公館山	1149100040 	25 	122 		
44 	信義杭州路口	1004800860 	25 	122 	44 	信義杭州路口	1004800860 	25 	122 		
44 	麗寶大樓	1149100340 	25 	122 	44 	麗寶大樓	1149100340 	25 	122 		
45 	瑞湖街口	1149400261 	25 	122 	45 	瑞湖街口	1149400261 	25 	122 		
45 	中正紀念堂	1004800960 	25 	122 	45 	中正紀念堂	1004800960 	25 	122 		
46 	捷運台大醫院站	1004801100 	25 	122 	46 	捷運台大醫院站	1004801100 	25 	122 		
47 	博物館(館前)	1004700200 	25 	122 	47 	博物館(館前)	1004700200 	25 	122 		
48 	臺北車站(忠孝)	1004100720 	25 	122 	48 	臺北車站(忠孝)	1004100720 	25 	122 		
5 	捷運東門站	1064100120 	25 	122 	5 	捷運東門站	1064100120 	25 	122 		
5 	內湖運動中心	1144800300 	25 	122 	5 	內湖運動中心	1144800300 	25 	122 		
6 	信義永康街口(捷運東門站)	1065000320 	25 	122 	6 	信義永康街口(捷運東門站)	1065000320 	25 	122 		
6 	港墘派出所	1144800100 	25 	122 	6 	港墘派出所	1144800100 	25 	122 		
7 	信義新生路口	1006100020 	25 	122 	7 	信義新生路口	1006100020 	25 	122 		
